context,checkpoint_file,run_id,task_id,chunk_index,documento,agent_id,model,ok,failure_reason,truncated,final_estados,would_have_been_accepted_without_cut
checkpoints,checkpoints/chunked-2c3e4b52c953.checkpoint.json,chunked-2c3e4b52c953,task-ac630e8574d3,0,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,21_CFR_11.10(g)=cumple_parcialmente,N/A_no_truncado
checkpoints,checkpoints/chunked-2c3e4b52c953.checkpoint.json,chunked-2c3e4b52c953,task-fbf8c937caf3,1,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,21_CFR_11.10(g)=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-2c3e4b52c953.checkpoint.json,chunked-2c3e4b52c953,task-8a52238533ad,2,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,21_CFR_11.10(g)=cumple_parcialmente,N/A_no_truncado
checkpoints,checkpoints/chunked-2c3e4b52c953.checkpoint.json,chunked-2c3e4b52c953,task-e13ab8d9155a,3,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,21_CFR_11.10(g)=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-2c3e4b52c953.checkpoint.json,chunked-2c3e4b52c953,task-8582d342f9bf,4,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,21_CFR_11.10(g)=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-2e28195523f9.checkpoint.json,chunked-2e28195523f9,task-f166737aef64,0,RW-0005,alcoa_plus_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,ALCOA_CONTEMPORANEOUS=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-2e28195523f9.checkpoint.json,chunked-2e28195523f9,task-38adb3c65da1,1,RW-0005,alcoa_plus_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,ALCOA_CONTEMPORANEOUS=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-2e28195523f9.checkpoint.json,chunked-2e28195523f9,task-d8ae2c773e45,2,RW-0005,alcoa_plus_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,ALCOA_CONTEMPORANEOUS=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-2e28195523f9.checkpoint.json,chunked-2e28195523f9,task-9c7f51f455d8,3,RW-0005,alcoa_plus_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,ALCOA_CONTEMPORANEOUS=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-2e28195523f9.checkpoint.json,chunked-2e28195523f9,task-63411211d1ad,4,RW-0005,alcoa_plus_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,ALCOA_CONTEMPORANEOUS=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-2ef3d38d2538.checkpoint.json,chunked-2ef3d38d2538,task-70b3354a5168,0,RW-0005,alcoa_plus_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,UNPARSEABLE_RAW_RESPONSE,N/A_no_truncado
checkpoints,checkpoints/chunked-50534e75927c.checkpoint.json,chunked-50534e75927c,task-bf3897479d56,0,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,21_CFR_11.10(e)=cumple_parcialmente,N/A_no_truncado
checkpoints,checkpoints/chunked-50534e75927c.checkpoint.json,chunked-50534e75927c,task-1cec697ae89c,1,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,21_CFR_11.10(e)=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-50534e75927c.checkpoint.json,chunked-50534e75927c,task-cb44216ff6d2,2,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,21_CFR_11.10(e)=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-50534e75927c.checkpoint.json,chunked-50534e75927c,task-faaf94fc5904,3,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,21_CFR_11.10(e)=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-50534e75927c.checkpoint.json,chunked-50534e75927c,task-a19808aa3603,4,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,21_CFR_11.10(e)=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-5077df33d5ae.checkpoint.json,chunked-5077df33d5ae,task-9d32af80f7dc,0,RW-0012,fda_cgmp_211_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,21_CFR_211.68(b)=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-5077df33d5ae.checkpoint.json,chunked-5077df33d5ae,task-f1c0c662b15f,1,RW-0012,fda_cgmp_211_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,21_CFR_211.68(b)=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-5077df33d5ae.checkpoint.json,chunked-5077df33d5ae,task-b1b3afd99e13,2,RW-0012,fda_cgmp_211_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,21_CFR_211.68(b)=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-5077df33d5ae.checkpoint.json,chunked-5077df33d5ae,task-33649aa70920,3,RW-0012,fda_cgmp_211_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,21_CFR_211.68(b)=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-5077df33d5ae.checkpoint.json,chunked-5077df33d5ae,task-60130ea98961,4,RW-0012,fda_cgmp_211_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,21_CFR_211.68(b)=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-510444cedc9b.checkpoint.json,chunked-510444cedc9b,task-b65d0d7091b8,0,RW-0011,fda_cgmp_211_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,21_CFR_211.68(b)=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-53013aa25324.checkpoint.json,chunked-53013aa25324,task-acac76e0c089,0,RW-0011,fda_cgmp_211_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,21_CFR_211.68(b)=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-554544f4090f.checkpoint.json,chunked-554544f4090f,task-e0a6cb35d656,0,RW-0011,fda_cgmp_211_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,21_CFR_211.68(b)=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-596f70cc4520.checkpoint.json,chunked-596f70cc4520,task-3d9d395fa99e,0,RW-0005,alcoa_plus_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,ALCOA_CONTEMPORANEOUS=cumple_parcialmente,N/A_no_truncado
checkpoints,checkpoints/chunked-5a439f3fde11.checkpoint.json,chunked-5a439f3fde11,task-ab7c88d3f05d,0,RW-0011,alcoa_plus_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,ALCOA_ATTRIBUTABLE=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-7bbadb0a92b7.checkpoint.json,chunked-7bbadb0a92b7,task-a058b20e95b2,0,RW-0005,alcoa_plus_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,ALCOA_CONTEMPORANEOUS=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-7bbadb0a92b7.checkpoint.json,chunked-7bbadb0a92b7,task-f63383dd41fa,1,RW-0005,alcoa_plus_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,ALCOA_CONTEMPORANEOUS=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-7bbadb0a92b7.checkpoint.json,chunked-7bbadb0a92b7,task-5384494a97e1,2,RW-0005,alcoa_plus_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,ALCOA_CONTEMPORANEOUS=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-7bbadb0a92b7.checkpoint.json,chunked-7bbadb0a92b7,task-beb6d7fab02f,3,RW-0005,alcoa_plus_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,ALCOA_CONTEMPORANEOUS=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-7bbadb0a92b7.checkpoint.json,chunked-7bbadb0a92b7,task-417151794605,4,RW-0005,alcoa_plus_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,ALCOA_CONTEMPORANEOUS=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-7bbadb0a92b7.checkpoint.json,chunked-7bbadb0a92b7,task-32d1c172fed0,5,RW-0005,alcoa_plus_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,ALCOA_CONTEMPORANEOUS=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-7bbadb0a92b7.checkpoint.json,chunked-7bbadb0a92b7,task-0362fff5965f,6,RW-0005,alcoa_plus_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,ALCOA_CONTEMPORANEOUS=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-7bbadb0a92b7.checkpoint.json,chunked-7bbadb0a92b7,task-ead20ab3dbda,7,RW-0005,alcoa_plus_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,ALCOA_CONTEMPORANEOUS=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-7bbadb0a92b7.checkpoint.json,chunked-7bbadb0a92b7,task-de9c4096e011,8,RW-0005,alcoa_plus_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,ALCOA_CONTEMPORANEOUS=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-7bbadb0a92b7.checkpoint.json,chunked-7bbadb0a92b7,task-c2c696d4e09a,9,RW-0005,alcoa_plus_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,ALCOA_CONTEMPORANEOUS=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-7eb4086d32d4.checkpoint.json,chunked-7eb4086d32d4,task-aa09cc42b3b3,0,RW-0005,alcoa_plus_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,UNPARSEABLE_RAW_RESPONSE,N/A_no_truncado
checkpoints,checkpoints/chunked-811b5b9b1561.checkpoint.json,chunked-811b5b9b1561,task-15f43b90f45d,0,RW-0011,alcoa_plus_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,ALCOA_ATTRIBUTABLE=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-811b5b9b1561.checkpoint.json,chunked-811b5b9b1561,task-d178d7cd708b,1,RW-0011,alcoa_plus_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,ALCOA_ATTRIBUTABLE=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-811b5b9b1561.checkpoint.json,chunked-811b5b9b1561,task-2ce985b381a6,2,RW-0011,alcoa_plus_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,ALCOA_ATTRIBUTABLE=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-811b5b9b1561.checkpoint.json,chunked-811b5b9b1561,task-0b40843bf820,3,RW-0011,alcoa_plus_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,ALCOA_ATTRIBUTABLE=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-811b5b9b1561.checkpoint.json,chunked-811b5b9b1561,task-a74b043d0022,4,RW-0011,alcoa_plus_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,ALCOA_ATTRIBUTABLE=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-819c85a05117.checkpoint.json,chunked-819c85a05117,task-6b400ebca89d,0,RW-0011,alcoa_plus_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,ALCOA_ATTRIBUTABLE=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-819c85a05117.checkpoint.json,chunked-819c85a05117,task-fff0ff85a484,1,RW-0011,alcoa_plus_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,ALCOA_ATTRIBUTABLE=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-819c85a05117.checkpoint.json,chunked-819c85a05117,task-8fb1b3cea538,2,RW-0011,alcoa_plus_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,ALCOA_ATTRIBUTABLE=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-819c85a05117.checkpoint.json,chunked-819c85a05117,task-39c06bdcdf4e,3,RW-0011,alcoa_plus_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,ALCOA_ATTRIBUTABLE=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-819c85a05117.checkpoint.json,chunked-819c85a05117,task-53fa3a40c313,4,RW-0011,alcoa_plus_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,ALCOA_ATTRIBUTABLE=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-853b1482c353.checkpoint.json,chunked-853b1482c353,task-48fd0e3a161b,0,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,UNPARSEABLE_RAW_RESPONSE,N/A_no_truncado
checkpoints,checkpoints/chunked-8e2b20bfa511.checkpoint.json,chunked-8e2b20bfa511,task-54b0c785e882,0,RW-0011,alcoa_plus_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,ALCOA_ATTRIBUTABLE=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-933350a6d3a3.checkpoint.json,chunked-933350a6d3a3,task-8ad691aafb12,0,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,21_CFR_11.10(e)=cumple_parcialmente,N/A_no_truncado
checkpoints,checkpoints/chunked-933350a6d3a3.checkpoint.json,chunked-933350a6d3a3,task-80c4a2656a0f,1,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,21_CFR_11.10(e)=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-933350a6d3a3.checkpoint.json,chunked-933350a6d3a3,task-19cab0794a1a,2,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,21_CFR_11.10(e)=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-933350a6d3a3.checkpoint.json,chunked-933350a6d3a3,task-a00ce7a448ef,3,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,21_CFR_11.10(e)=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-933350a6d3a3.checkpoint.json,chunked-933350a6d3a3,task-abb39fa39afa,4,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,21_CFR_11.10(e)=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-943a62bcbb85.checkpoint.json,chunked-943a62bcbb85,task-206f877bdaad,0,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,UNPARSEABLE_RAW_RESPONSE,N/A_no_truncado
checkpoints,checkpoints/chunked-943a62bcbb85.checkpoint.json,chunked-943a62bcbb85,task-e9ee7bb9552b,1,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,UNPARSEABLE_RAW_RESPONSE,N/A_no_truncado
checkpoints,checkpoints/chunked-943a62bcbb85.checkpoint.json,chunked-943a62bcbb85,task-31f89d6d5ad3,2,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,UNPARSEABLE_RAW_RESPONSE,N/A_no_truncado
checkpoints,checkpoints/chunked-943a62bcbb85.checkpoint.json,chunked-943a62bcbb85,task-6aaa445972d7,3,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,UNPARSEABLE_RAW_RESPONSE,N/A_no_truncado
checkpoints,checkpoints/chunked-943a62bcbb85.checkpoint.json,chunked-943a62bcbb85,task-52752f6d5a2e,4,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,UNPARSEABLE_RAW_RESPONSE,N/A_no_truncado
checkpoints,checkpoints/chunked-943a62bcbb85.checkpoint.json,chunked-943a62bcbb85,task-3822eda6cf70,5,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,UNPARSEABLE_RAW_RESPONSE,N/A_no_truncado
checkpoints,checkpoints/chunked-943a62bcbb85.checkpoint.json,chunked-943a62bcbb85,task-f61ea2287146,6,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,UNPARSEABLE_RAW_RESPONSE,N/A_no_truncado
checkpoints,checkpoints/chunked-943a62bcbb85.checkpoint.json,chunked-943a62bcbb85,task-b0e46ac1e6a8,7,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,UNPARSEABLE_RAW_RESPONSE,N/A_no_truncado
checkpoints,checkpoints/chunked-943a62bcbb85.checkpoint.json,chunked-943a62bcbb85,task-5293f1623866,8,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,UNPARSEABLE_RAW_RESPONSE,N/A_no_truncado
checkpoints,checkpoints/chunked-943a62bcbb85.checkpoint.json,chunked-943a62bcbb85,task-74cedb552c56,9,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,UNPARSEABLE_RAW_RESPONSE,N/A_no_truncado
checkpoints,checkpoints/chunked-943a62bcbb85.checkpoint.json,chunked-943a62bcbb85,task-db8e80b148e9,10,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,UNPARSEABLE_RAW_RESPONSE,N/A_no_truncado
checkpoints,checkpoints/chunked-943a62bcbb85.checkpoint.json,chunked-943a62bcbb85,task-75f1d71a33a2,11,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,UNPARSEABLE_RAW_RESPONSE,N/A_no_truncado
checkpoints,checkpoints/chunked-943a62bcbb85.checkpoint.json,chunked-943a62bcbb85,task-ca74e829b21c,12,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,UNPARSEABLE_RAW_RESPONSE,N/A_no_truncado
checkpoints,checkpoints/chunked-943a62bcbb85.checkpoint.json,chunked-943a62bcbb85,task-6bf2d42382b3,13,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,UNPARSEABLE_RAW_RESPONSE,N/A_no_truncado
checkpoints,checkpoints/chunked-943a62bcbb85.checkpoint.json,chunked-943a62bcbb85,task-87f710d05cf3,14,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,UNPARSEABLE_RAW_RESPONSE,N/A_no_truncado
checkpoints,checkpoints/chunked-943a62bcbb85.checkpoint.json,chunked-943a62bcbb85,task-ebb63a04a2a0,15,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,UNPARSEABLE_RAW_RESPONSE,N/A_no_truncado
checkpoints,checkpoints/chunked-943a62bcbb85.checkpoint.json,chunked-943a62bcbb85,task-443726902be0,16,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,UNPARSEABLE_RAW_RESPONSE,N/A_no_truncado
checkpoints,checkpoints/chunked-943a62bcbb85.checkpoint.json,chunked-943a62bcbb85,task-456a8c1ae869,17,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,UNPARSEABLE_RAW_RESPONSE,N/A_no_truncado
checkpoints,checkpoints/chunked-943a62bcbb85.checkpoint.json,chunked-943a62bcbb85,task-c8a68cfc61a7,18,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,UNPARSEABLE_RAW_RESPONSE,N/A_no_truncado
checkpoints,checkpoints/chunked-943a62bcbb85.checkpoint.json,chunked-943a62bcbb85,task-5007a6743ceb,19,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,UNPARSEABLE_RAW_RESPONSE,N/A_no_truncado
checkpoints,checkpoints/chunked-943a62bcbb85.checkpoint.json,chunked-943a62bcbb85,task-d214c5e3983f,20,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,UNPARSEABLE_RAW_RESPONSE,N/A_no_truncado
checkpoints,checkpoints/chunked-943a62bcbb85.checkpoint.json,chunked-943a62bcbb85,task-3f695e540e4c,21,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,UNPARSEABLE_RAW_RESPONSE,N/A_no_truncado
checkpoints,checkpoints/chunked-943a62bcbb85.checkpoint.json,chunked-943a62bcbb85,task-b7076d281c8b,22,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,UNPARSEABLE_RAW_RESPONSE,N/A_no_truncado
checkpoints,checkpoints/chunked-943a62bcbb85.checkpoint.json,chunked-943a62bcbb85,task-9adce79fb72f,23,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,UNPARSEABLE_RAW_RESPONSE,N/A_no_truncado
checkpoints,checkpoints/chunked-943a62bcbb85.checkpoint.json,chunked-943a62bcbb85,task-fc9c7f1a9180,24,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,UNPARSEABLE_RAW_RESPONSE,N/A_no_truncado
checkpoints,checkpoints/chunked-943a62bcbb85.checkpoint.json,chunked-943a62bcbb85,task-f10bd15f747a,25,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,UNPARSEABLE_RAW_RESPONSE,N/A_no_truncado
checkpoints,checkpoints/chunked-943a62bcbb85.checkpoint.json,chunked-943a62bcbb85,task-20f719619611,26,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,UNPARSEABLE_RAW_RESPONSE,N/A_no_truncado
checkpoints,checkpoints/chunked-943a62bcbb85.checkpoint.json,chunked-943a62bcbb85,task-1112c4d2671c,27,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,UNPARSEABLE_RAW_RESPONSE,N/A_no_truncado
checkpoints,checkpoints/chunked-943a62bcbb85.checkpoint.json,chunked-943a62bcbb85,task-2809ed73a88a,28,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,UNPARSEABLE_RAW_RESPONSE,N/A_no_truncado
checkpoints,checkpoints/chunked-965e5cf6ee5d.checkpoint.json,chunked-965e5cf6ee5d,task-b737fdf292e3,0,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,21_CFR_11.10(e)=cumple_parcialmente,N/A_no_truncado
checkpoints,checkpoints/chunked-965e5cf6ee5d.checkpoint.json,chunked-965e5cf6ee5d,task-71f9a6aee95d,1,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,21_CFR_11.10(e)=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-965e5cf6ee5d.checkpoint.json,chunked-965e5cf6ee5d,task-b2a57eb01661,2,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,21_CFR_11.10(e)=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-965e5cf6ee5d.checkpoint.json,chunked-965e5cf6ee5d,task-bff70a2ace16,3,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,21_CFR_11.10(e)=evidencia_insuficiente,N/A_no_truncado
checkpoints,checkpoints/chunked-965e5cf6ee5d.checkpoint.json,chunked-965e5cf6ee5d,task-3695490c899f,4,RW-0005,fda_part11_agent,qwen2.5:7b-instruct-q4_K_M,True,,False,21_CFR_11.10(e)=evidencia_insuficiente,N/A_no_truncado
